id;localidade;logradouro;numero;estabelecimento;lat;lon;area_risco;setor_risco;grau_risco
38918638;ALTO RIO POSSMOSER;REINALDO BERGER;0;RESTAURANTE SABORES CASEIROS;-20.067699;-40.838415;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918655;ALTO RIO POSSMOSER;REINALDO BERGER;0;CONSULTORIO ODONTOLOGICO THANISE ZEFERINO E WHASHINGTON DELBONI;-20.067851;-40.8403;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918656;ALTO RIO POSSMOSER;REINALDO BERGER;0;OFICINA REDE STIEG;-20.067944;-40.83976;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38916289;CENTRO;FREDERICO GRULKE;173;;-20.033641;-40.739269;Sem nome;S20R3;Alto
38916293;CENTRO;FREDERICO GRULKE;153;;-20.033754;-40.739096;Sem nome;S20R3;Alto
38916295;CENTRO;FREDERICO GRULKE;123;;-20.033854;-40.739034;Sem nome;S20R3;Alto
38916296;CENTRO;FREDERICO GRULKE;123;;-20.033821;-40.739023;Sem nome;S20R3;Alto
38916299;CENTRO;FREDERICO GRULKE;119;;-20.033892;-40.738918;Sem nome;S20R3;Alto
38916304;CENTRO;FREDERICO GRULKE;115;;-20.034005;-40.739073;Sem nome;S20R3;Alto
38916314;CENTRO;FREDERICO GRULKE;85;;-20.034144;-40.738624;Sem nome;S20R3;Alto
38916315;CENTRO;FREDERICO GRULKE;73;;-20.034132;-40.738601;Sem nome;S20R3;Alto
38916318;CENTRO;FREDERICO GRULKE;61;;-20.034249;-40.738469;Sem nome;S20R3;Alto
38916321;CENTRO;FREDERICO GRULKE;45;;-20.034274;-40.738469;Sem nome;S20R3;Alto
38916322;CENTRO;FREDERICO GRULKE;41;;-20.034416;-40.738375;Sem nome;S20R3;Alto
38916323;CENTRO;FREDERICO GRULKE;41;;-20.034433;-40.738364;Sem nome;S20R3;Alto
38916324;CENTRO;FREDERICO GRULKE;41;;-20.034467;-40.738463;Sem nome;S20R3;Alto
201139211;CENTRO;DOS IMIGRANTES;75;PROFESSOR ADVOGADO CONSULTOR JURIDICO THIAGO SALES;-20.031056;-40.74076;Sem nome;S20R3;Alto
201139220;CENTRO;DOS IMIGRANTES;45;SALA COMERCIAL;-20.030475;-40.741012;Sem nome;S20R3;Alto
201139246;CENTRO;DOS IMIGRANTES;225;;-20.032861;-40.739818;Sem nome;S20R3;Alto
38916356;CENTRO;DOS IMIGRANTES;313;;-20.033322;-40.739679;Sem nome;S20R3;Alto
38916357;CENTRO;DOS IMIGRANTES;313;;-20.03329;-40.739705;Sem nome;S20R3;Alto
38916360;CENTRO;DOS IMIGRANTES;325;;-20.033279;-40.739721;Sem nome;S20R3;Alto
38916361;CENTRO;DOS IMIGRANTES;325;;-20.033282;-40.73973;Sem nome;S20R3;Alto
38916362;CENTRO;DOS IMIGRANTES;325;GLORINHA CABELEIREIRA;-20.033088;-40.739738;Sem nome;S20R3;Alto
38916363;CENTRO;DOS IMIGRANTES;0;ESCRITORIO DE ADVOCACIA;-20.033294;-40.739757;Sem nome;S20R3;Alto
38916364;CENTRO;DOS IMIGRANTES;0;ESTACIONAMENTO PRIVATIVO DA OFICINA DORING;-20.033259;-40.739735;Sem nome;S20R3;Alto
38916365;CENTRO;DOS IMIGRANTES;305;;-20.033277;-40.739695;Sem nome;S20R3;Alto
38916372;CENTRO;DOS IMIGRANTES;261;;-20.032882;-40.739848;Sem nome;S20R3;Alto
38916373;CENTRO;DOS IMIGRANTES;261;;-20.03288;-40.739838;Sem nome;S20R3;Alto
201139155;CENTRO;DOS IMIGRANTES;355;;-20.033565;-40.739741;Sem nome;S20R3;Alto
201139159;CENTRO;DOS IMIGRANTES;347;;-20.033449;-40.739591;Sem nome;S20R3;Alto
201139175;CENTRO;DOS IMIGRANTES;335;;-20.033402;-40.739629;Sem nome;S20R3;Alto
201139177;CENTRO;DOS IMIGRANTES;35;CENTRO DE FORMACAO DE CINDUTORES LITORAL;-20.030456;-40.74111;Sem nome;S20R3;Alto
201139189;CENTRO;DOS IMIGRANTES;313;;-20.033283;-40.739711;Sem nome;S20R3;Alto
201139516;CENTRO;TERCIO CORREA DOS SANTOS;51;VANDERLEI VEICULOS;-20.03074;-40.741257;Sem nome;S20R3;Alto
201139517;CENTRO;TERCIO CORREA DOS SANTOS;69;;-20.030639;-40.741332;Sem nome;S20R3;Alto
38916506;CENTRO;TERCIO CORREA DOS SANTOS;25;;-20.030604;-40.741357;Sem nome;S20R3;Alto
38916513;CENTRO;FRANCISCO SCHWARTZ;102;HIPER POPULAR;-20.030196;-40.74154;Sem nome;S20R3;Alto
38918672;ALTO RIO POSSMOSER;GERMANO AUGUSTO ALBERTO MARQUARDT;0;IGREJA ASSEMBLEIA DE DEUS;-20.067017;-40.840943;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918685;ALTO RIO POSSMOSER;GERMANO AUGUSTO ALBERTO MARQUARDT;0;;-20.066943;-40.841019;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918686;ALTO RIO POSSMOSER;GERMANO AUGUSTO ALBERTO MARQUARDT;0;AGRODISCHER MAQUINAS E FERRAMENTAS;-20.067862;-40.84074;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918674;ALTO RIO POSSMOSER;GERMANO AUGUSTO ALBERTO MARQUARDT;0;IGREJA BATISTA;-20.067263;-40.840946;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918675;ALTO RIO POSSMOSER;GERMANO AUGUSTO ALBERTO MARQUARDT;0;COPERATIVA;-20.067461;-40.840784;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918676;ALTO RIO POSSMOSER;GERMANO AUGUSTO ALBERTO MARQUARDT;0;;-20.067573;-40.84075;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38918677;ALTO RIO POSSMOSER;GERMANO AUGUSTO ALBERTO MARQUARDT;0;;-20.067756;-40.840829;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071316;ALTO RIO POSSMOSER;GERMANO AUGUSTO ALBERTO MARQUARDT;0;;-20.067078;-40.84101;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071307;ALTO RIO POSSMOSER;GERMANO AUGUSTO ALBERTO MARQUARDT;0;BAR RIOS;-20.067978;-40.840696;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
197071311;ALTO RIO POSSMOSER;GERMANO AUGUSTO ALBERTO MARQUARDT;0;ESCRITORII POSTO RIOS;-20.068027;-40.840763;Distrito de Rio Possmoser - Rodovia ES-264;ES_SM_SR_08_CPRM;Muito Alto
38916612;CENTRO;DALMACIO ESPINDULA;0;MINISTERIO PUBLICO PROMOTORIA DE JUSTICA;-20.032167;-40.742601;Pátio da Prefeitura Municipal de Santa Maria do Jetibá - Patio da Prefeitura de SMJ - Rua Dalmácio Espíndula;ES_SM_SR_09_CPRM;Muito Alto
38916613;CENTRO;ALFREDO EMILIO RODRIGUES;0;SECRETARIA DE CULTURA E TURISMO;-20.032031;-40.742321;Pátio da Prefeitura Municipal de Santa Maria do Jetibá - Patio da Prefeitura de SMJ - Rua Dalmácio Espíndula;ES_SM_SR_09_CPRM;Muito Alto
